"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
25863,37680.7,18826.3,169.1,564,462,12.2,19.12,2
35174,37679.0,18862.9,128.9,188,456,12.2,23.74,1
26004,37683.4,18793.2,152.2,550,478,12.2,16.38,2
30302,37684.1,18844.0,153.0,406,478,12.2,21.90,2
21071,37684.6,18790.0,158.0,486,470,12.2,19.50,2
10471,37684.7,18747.4,125.3,273,450,12.2,16.13,1
44982,37686.8,18517.2,138.7,555,463,12.2,13.56,2
34451,37698.3,18534.0,141.1,765,466,12.2,13.94,4
10490,37685.2,18774.0,100.8,111,476,12.2,25.18,1
49098,37685.3,18782.6,114.8,124,494,12.2,29.33,1
13620,37692.9,18760.1,175.0,538,468,12.2,16.12,1
21068,37690.2,18782.4,142.0,208,491,12.2,26.71,1
26725,37686.4,18798.9,142.7,202,457,12.2,26.82,1
30285,37689.1,18799.6,148.1,664,472,12.2,15.45,3
14938,37701.7,18768.9,166.5,672,462,12.2,15.84,2
12528,37702.1,18732.2,179.3,296,432,12.2,27.94,1
13499,37703.2,18748.4,130.2,209,478,12.2,22.38,1
25919,37705.1,18756.8,133.6,242,459,12.2,20.24,1
463,37702.2,18779.8,157.6,233,493,12.2,29.17,1
4529,37705.6,18513.2,160.8,287,465,12.2,24.35,1
31911,37709.0,18519.9,146.5,212,459,12.2,26.94,1
15483,37709.7,18519.9,125.0,161,474,12.2,26.31,1
34210,37714.3,18535.4,101.2,142,472,12.2,20.15,1
16685,37721.6,18505.0,104.8,205,467,12.2,20.37,2
21272,37736.5,18509.8,152.0,907,468,12.2,12.13,3
1471,37725.8,18556.4,110.6,107,468,12.2,30.61,1
23766,37715.7,18556.6,122.8,108,452,12.2,36.12,1
31597,37720.9,18649.5,148.6,149,443,12.2,37.86,1
31920,37738.9,18553.9,136.4,112,466,12.2,43.22,1
21263,37750.0,18525.6,147.8,571,457,12.2,14.74,2
22237,37750.8,18516.2,124.5,178,472,12.2,23.85,1
28161,37744.3,18554.1,156.8,362,455,12.2,24.98,2
2379,37744.3,18640.9,142.6,138,461,12.2,38.53,1
32183,37747.1,18558.5,115.7,118,459,12.2,30.10,1
9881,37726.8,18673.8,131.4,151,460,12.2,30.29,1
34402,37753.3,18587.1,166.7,181,442,12.2,39.17,1
36774,37784.2,18503.3,170.1,179,449,12.2,41.46,1
24543,37756.8,18508.7,159.1,219,457,12.2,30.35,1
47716,37769.7,18517.3,150.1,315,426,12.2,19.06,1
33071,37757.6,18526.9,186.6,348,469,12.2,26.88,1
48975,37791.2,18525.1,127.1,222,457,12.2,20.03,1
48981,37806.3,18511.2,146.0,340,475,12.2,17.71,1
4603,37806.6,18528.8,142.3,278,466,12.2,27.01,2
23757,37760.0,18542.0,169.0,332,447,12.2,22.95,1
49038,37808.0,18531.4,156.7,266,451,12.2,24.61,1
33900,37771.4,18546.5,198.8,304,450,12.2,33.64,1
21417,37774.1,18547.4,149.5,502,482,12.2,13.20,1
23759,37782.4,18550.1,151.1,220,454,12.2,27.43,1
10869,37812.8,18534.3,161.2,255,445,12.2,26.74,1
46124,37823.7,18541.0,157.1,365,448,12.2,18.50,1
24964,37786.7,18551.4,112.0,101,456,12.2,32.56,1
14457,37773.6,18552.4,130.5,211,466,12.2,22.09,1
20122,37797.2,18555.2,131.8,115,419,12.2,37.63,1
28140,37780.4,18577.7,145.8,185,469,12.2,30.59,1
20954,37799.9,18592.4,154.5,576,456,12.2,18.81,3
21414,37805.8,18568.0,148.5,770,473,12.2,11.53,2
4567,37813.4,18579.5,157.3,510,462,12.2,18.38,2
4561,37816.4,18562.4,152.4,5007,521,12.2,3.52,5
28442,37808.8,18609.5,101.6,107,460,12.2,26.02,1
22387,37814.5,18586.0,173.1,965,457,12.2,16.26,4
16696,37818.1,18589.1,161.9,165,449,12.2,40.70,1
36776,37819.7,18605.1,156.5,294,465,12.2,22.65,1
28457,37816.0,18655.0,167.8,197,465,12.2,37.31,1
28454,37816.3,18619.9,192.4,237,447,12.2,39.91,1
20638,37820.6,18676.7,136.6,206,454,12.2,24.30,1
14460,37824.3,18642.3,145.4,341,466,12.2,23.20,2
40889,37825.0,18664.4,163.1,216,453,12.2,32.14,1
23764,37825.1,18615.9,145.0,228,461,12.2,24.79,1
38120,37768.0,18680.7,136.8,152,467,12.2,32.54,1
25845,37724.1,18705.9,121.8,135,459,12.2,29.10,1
12539,37728.9,18709.7,164.2,212,450,12.2,33.01,1
42689,37716.6,18731.4,154.2,178,457,12.2,34.91,1
33913,37709.6,18753.0,165.3,208,456,12.2,34.23,1
25990,37721.7,18768.0,175.2,269,451,12.2,29.85,1
13494,37722.9,18765.2,183.4,383,449,12.2,23.39,1
14942,37714.9,18771.4,161.1,424,458,12.2,17.07,1
12534,37715.9,18778.4,162.3,541,466,12.2,18.50,2
4957,37726.6,18750.8,152.5,769,485,12.2,12.21,2
4962,37730.6,18767.2,153.0,1977,486,12.2,7.58,5
4974,37732.7,18738.9,149.8,380,486,12.2,16.91,1
4968,37735.8,18760.2,166.8,2425,473,12.2,7.29,5
10488,37731.3,18772.6,172.6,215,451,12.2,35.85,1
33734,37736.1,18772.9,190.1,280,435,12.2,32.97,1
26525,37756.1,18696.8,150.2,313,441,12.2,19.45,1
34228,37758.8,18712.8,141.0,455,480,12.2,16.98,2
20633,37755.8,18727.2,134.0,153,461,12.2,30.96,1
33896,37761.6,18693.0,188.7,529,475,12.2,18.80,1
33892,37754.7,18728.7,168.0,948,478,12.2,14.09,3
26766,37739.7,18744.4,146.8,173,471,12.2,33.03,1
